Tam. Entrada,BubbleSort,SelectionSort,InsertionSort,TimSort,HeapSort,QuickSort,ShellSort,MergeSort
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000,0.0,0.0,0.0,2401229.0,3574393.0,151496.0,0.0,200000.0
300000,0.0,0.0,0.0,3898982.0,5540753.0,226728.0,0.0,300000.0
400000,0.0,0.0,0.0,5200989.0,7573773.0,0.0,0.0,400000.0
500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
